Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2026-01-04 (Price: 206.17)",Weekly,2026-03-15 (Price: 194.75),No Price Target,No Date Target,8.78%/17.38%,"-8.04%, 2.4 months","2026-03-18 (Price: 189.6), 8.04% below",228.2714 (Historic Rise or Fall to Pivot)/222.5605 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/264.1656 (Backtested Max)/206.2525 (Backtested Min),2026-08-26 (Max)/2026-04-05 (Min)/2026-05-14 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/191.24,"84.81%, Past 10 years, 79",205.6,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-12-21 (Price: 203.39)",Weekly,2026-03-15 (Price: 194.75),No Price Target,No Date Target,15.8%/18.77%,"-6.78%, 2.9 months","2026-03-18 (Price: 189.6), 6.78% below",225.1934 (Historic Rise or Fall to Pivot)/219.5595 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/260.6036 (Backtested Max),2026-08-12 (Max)/2026-03-22 (Min)/2026-04-30 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/191.24,"84.81%, Past 10 years, 79",202.72,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-23 (Price: 197.68)",Weekly,2026-03-15 (Price: 194.75),No Price Target,No Date Target,12.55%/15.44%,"-4.09%, 3.8 months","2026-03-18 (Price: 189.6), 4.09% below",218.8713 (Historic Rise or Fall to Pivot)/213.3956 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/253.2874 (Backtested Max),2026-07-15 (Max)/2026-04-02 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/191.24,"84.81%, Past 10 years, 79",194.41,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,2026-03-15 (Price: 194.75),No Price Target,No Date Target,10.98%/13.83%,"-2.73%, 4.1 months","2026-03-18 (Price: 189.6), 2.73% below",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/191.24,"84.81%, Past 10 years, 79",184.95,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-02-19 (Price: 10.51)",Daily,No Exit Yet,No Price Target,2026-03-18 (Avg),9.18%/9.44%,"-6.28%, 27 days","2026-03-18 (Price: 9.85), 6.28% below",10.9062 (Avg % Gain of Historic Winning trades)/10.78 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.42 (EMA 200)/11.0849 (Backtested Max)/10.7538 (Backtested Min),2026-05-16 (Max),10.42/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 4 years, 14",10.41,No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,5.72%,-0.28%,6.0%,0.18,-0.09,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-18 (Price: 9.85),No Price Target,No Date Target,41.72%/42.58%,"-23.23%, 1.3 year","2026-03-18 (Price: 9.85), 23.23% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,17.57% below/21.51% below/23.23% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.8 months (Across ALL Assets),62.99%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-18 (Price: 9.85),No Price Target,No Date Target,36.86%/37.69%,"-20.5%, 1.4 year","2026-03-18 (Price: 9.85), 20.5% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,17.57% below/20.5% below/20.5% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.8 months (Across ALL Assets),62.99%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-18 (Price: 9.85),No Price Target,No Date Target,32.0%/32.8%,"-17.57%, 1.5 year","2026-03-18 (Price: 9.85), 17.57% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,17.57% below/17.57% below/17.57% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.8 months (Across ALL Assets),62.99%/127/9.6 months (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2026-02-15 (Price: 160.14)",Weekly,No Exit Yet,No Price Target,2026-03-17 (Max),14.87%/17.51%,"-4.52%, 1 month","2026-03-18 (Price: 152.9), 4.52% below",214.1232 (Historic Rise or Fall to Pivot)/179.6771 (Avg % Gain of Historic Winning trades)/196.9 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/220.18 (EMA 200)/182.3834 (Backtested Max)/175.6416 (Backtested Min),No Next Date Target,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 15 years, 4",148.49,No Information,No Information,No Information,No Information,No Information,No Information,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,5.26%,6.77%,-1.51%,0.27,0.34,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-03-06 (Price: 152.96)",Daily,2026-03-16 (Price: 155.97),No Price Target,No Date Target,6.57%/13.66%,"-0.04%, 12 days","2026-03-18 (Price: 152.9), 0.04% below",162.9483 (Historic Rise or Fall to Pivot)/268.62 (Function Specific Target)/300.069 (F-Stack 1)/370.6658 (F-Stack 2)/220.39 (EMA 200)/173.7932 (Backtested Max),2026-07-23 (Max)/2026-04-27 (Avg),141.31/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 19",152.92,No Information,No Information,No Information,No Information,No Information,1.22% below/0.04% below/0.04% below,13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,18.7%,11.12%,7.58%,0.94,0.53,92.15%/293/1.2 month (Across ALL Assets),80.12%/518/1.4 month (Across ALL Assets)
