Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",Weekly,2026-03-23 (Price: 9.09),No Price Target,No Date Target,22.16%/25.3%,"-14.73%, 22 days","2026-03-23 (Price: 9.09), 14.73% below",13.0628 (Historic Rise or Fall to Pivot)/11.5927 (Avg % Gain of Historic Winning trades)/12.33 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.39 (EMA 200)/12.8208 (Backtested Max)/11.1045 (Backtested Min),2026-07-31 (Max)/2026-06-04 (Avg),10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 14 years, 7",10.5,No Information,No Information,No Information,No Information,No Information,No Information,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2.34%,11.18%,-8.84%,0.05,0.61,71.43%/14/2.5 months (Across ALL Assets),78.69%/122/2.2 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-23 (Price: 9.09),No Price Target,No Date Target,53.56%/54.5%,"-29.15%, 1.3 year","2026-03-23 (Price: 9.09), 29.15% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,23.93% below/27.57% below/29.15% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.21%/77/10.8 months (Across ALL Assets),62.2%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-23 (Price: 9.09),No Price Target,No Date Target,48.3%/49.2%,"-26.63%, 1.4 year","2026-03-23 (Price: 9.09), 26.63% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,23.93% below/26.63% below/26.63% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.21%/77/10.8 months (Across ALL Assets),62.2%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-23 (Price: 9.09),No Price Target,No Date Target,43.03%/43.9%,"-23.93%, 1.5 year","2026-03-23 (Price: 9.09), 23.93% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,23.93% below/23.93% below/23.93% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.21%/77/10.8 months (Across ALL Assets),62.2%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-03-17 (Price: 10.9)",Daily,No Exit Yet,No Price Target,2026-03-25 (Min),4.11%/4.53%,"0.0%, 6 days","2026-03-23 (Price: 10.9), 0.0% below",11.3938 (Historic Rise or Fall to Pivot)/11.348 (Avg % Gain of Historic Winning trades)/12.07 (Function Specific Target)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/11.49 (EMA 200)/11.9333 (Backtested Max),2026-08-07 (Max)/2026-03-25 (Min)/2026-05-03 (Avg),10.65/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.15%, Past 4 years, 26",10.81,No Information,No Information,No Information,No Information,No Information,0.55% above/0.0% below/0.0% below,9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,15.16%,8.14%,7.02%,0.86,0.43,91.99%/287/1.3 month (Across ALL Assets),79.73%/513/1.4 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2024-10-31 (Price: 12.6)",Monthly,2026-03-23 (Price: 10.9),No Price Target,No Date Target,19.11%/27.32%,"-13.49%, 1.4 year","2026-03-23 (Price: 10.9), 13.49% below",14.044 (Historic Rise or Fall to Pivot)/13.8776 (Avg % Gain of Historic Winning trades)/19.79 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/15.12 (Backtested Max)/12.983 (Backtested Min),2026-09-08 (Max),3.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.07,"100.0%, Past 20 years, 12",12.315,No Information,No Information,No Information,No Information,No Information,11.02% below/12.59% below/13.49% below,20.0%/3.04%/10.14%,"-0.0%, 18.64%",1.3 year/5 months/9.7 months,5.74%,8.41%,-2.67%,1.75,0.5,92.21%/77/10.8 months (Across ALL Assets),62.2%/127/9.6 months (Across ALL Assets)
SIGMASHELL,"IFT.NZ, Long, 2025-12-02 (Price: 11.75)",Daily,No Exit Yet,No Price Target,2026-03-24 (Avg),9.4%/11.89%,"-7.23%, 3.7 months","2026-03-23 (Price: 10.9), 7.23% below",12.1965 (Historic Rise or Fall to Pivot)/13.1835 (Avg % Gain of Historic Winning trades)/18.927 (Function Specific Target)/11.925 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/14.1658 (Backtested Max)/12.321 (Backtested Min),2026-06-02 (Max)/2026-03-24 (Avg),11.39/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.5,"100.0%, Past 5 years, 9",11.58,"-3.31, 87.5%",No Information,No Information,No Information,No Information,No Information,20.56%/4.86%/12.2%,"0%, 16.37%",4.2 months/1.8 month/2.6 months,30.94%,8.0%,22.94%,2.04,0.45,60.98%/41/4.6 months (Across ALL Assets),63.03%/238/3.7 months (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2025-09-14 (Price: 73.64)",Weekly,2026-03-22 (Price: 76.17),No Price Target,No Date Target,6.05%/8.15%,"7.22%, 6.3 months","2026-03-23 (Price: 78.96), 7.22% above",83.736 (Avg % Gain of Historic Winning trades)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/92.1752 (Backtested Max),2031-07-21 (Max)/2027-01-26 (Avg),67.64/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"92.31%, Past 20 years, 13",76.14,No Information,No Information,No Information,"78.6% (Price: 69.1621), 14.17% above, Upmove Bounce Back","2025-03-23 (Price: 65.95), 2025-07-20 (Price: 80.96)",No Information,25.17%/0.64%/13.71%,"2.07%, 59.16%",4.1 years/1.6 month/11.5 months,8.92%,11.07%,-2.15%,1.12,0.6,92.75%/69/1.4 year (Across ALL Assets),55.94%/143/7.7 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2024-02-18 (Price: 82.0)",Weekly,2026-03-23 (Price: 78.96),No Price Target,No Date Target,10.87%/11.9%,"-3.71%, 2.1 years","2026-03-23 (Price: 78.96), 3.71% below",88.355 (Historic Rise or Fall to Pivot)/87.5432 (Avg % Gain of Historic Winning trades)/121.69 (Function Specific Target)/96.14 (F-Stack 2)/94.7756 (Backtested Max),No Next Date Target,68.98/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/72.47,"90.0%, Past 10 years, 20",81.01,No Information,No Information,No Information,No Information,No Information,3.71% below/6.32% below/3.71% below,15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,10.6%,14.26%,-3.66%,0.87,0.82,88.82%/152/5.1 months (Across ALL Assets),75.94%/266/3.7 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-12-21 (Price: 203.39)",Weekly,2026-03-15 (Price: 194.75),No Price Target,2026-03-22 (Min),17.68%/20.7%,"-8.26%, 3.1 months","2026-03-23 (Price: 186.58), 8.26% below",225.1934 (Historic Rise or Fall to Pivot)/219.5595 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/260.6036 (Backtested Max),2026-08-12 (Max)/2026-04-30 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/191.33,"84.81%, Past 10 years, 79",202.72,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),64.3%/577/3.3 months (Across ALL Assets)
