"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XLY, Long, 2026-04-05 (Price: 108.15)",2026-04-10 (Price: 112.89),"4.38%, 5 days","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 112.89), 4.38% above",5 days,15.44%/7.22%/11.12%,"-0.0%, 11.49%",2.6 months/7 days/1.1 month,2026-07-26/2026-04-15/2026-05-22,9.08%,8.34%,0.74%,1.51,0.5,127.8549/120.1763/124.02/122.0862/125.4815/133.9156/116.22,105.68/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),106.61
"INDA, Long, 2026-04-05 (Price: 46.65)",2026-04-10 (Price: 49.34),"5.77%, 5 days","100.0%, Past 14 years, 8","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 49.34), 5.77% above",5 days,14.81%/5.57%/7.71%,"-0.0%, 6.26%",3 months/7 days/1.4 month,2026-08-13/2026-04-15/2026-06-04,7.44%,2.85%,4.59%,2.0,0.08,52.2946/50.2467/51.27/55.3975/66.8401/79.771/52.77,45.82/39.0425/45.3705/38.12/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),45.42
"MFT.NZ, Long, 2026-04-05 (Price: 58.99)",No Exit Yet,"1.71%, 5 days","88.89%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 60.0), 1.71% above",5 days,13.39%/6.64%/8.98%,"14.48%, 14.87%",21 days/7 days/12 days,2026-05-05/2026-04-15/2026-04-22,11.35%,8.97%,2.38%,2.22,0.51,65.4258/64.2873/64.86/85.45/105.252/119.9356/63.8,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),59.01
"EMAMILTD.NS, Long, 2026-04-05 (Price: 398.3)",2026-04-10 (Price: 424.15),"6.49%, 5 days","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 424.15), 6.49% above",5 days,26.55%/6.51%/10.95%,"17.56%, 19.61%",4.7 months/7 days/1.3 month,2026-10-26/2026-04-15/2026-05-31,8.05%,5.09%,2.96%,0.59,0.26,501.9377/441.9138/471.93/634.8/949.731/1026.7499/528.64,393.1/No Horizontal Support/381.1799/329.2417/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),391.7
"NZDUSD=X, Long, 2026-04-01 (Price: 0.5755)",2026-04-09 (Price: 0.5867),"1.95%, 8 days","77.78%, Past 4 years, 18","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-10 (Price: 0.5838), 1.44% above",9 days,2.12%/0.9%/1.29%,"4.65%, 5.12%",2.6 months/1 day/21 days,2026-07-22/2026-04-02/2026-05-01,3.88%,-2.92%,6.8%,-0.22,-0.78,0.5868/0.5829/0.58/0.7234/No Next Fib Ext/No Next Fib Ext/0.59,0.57/0.5528/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),0.5753
"META, Long, 2026-03-31 (Price: 572.13)",2026-04-08 (Price: 612.42),"7.04%, 8 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-10 (Price: 629.86), 10.09% above",10 days,14.76%/3.27%/6.96%,"19.19%, 19.41%",1.4 month/1 day/17 days,2026-05-30/2026-04-01/2026-04-24,1.26%,8.81%,-7.55%,-0.21,0.45,606.1717/611.9502/609.06/742.455/842.484/1305.5879/682.72,525.72/276.89/556.264/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),549.98
"IHI, Long, 2026-03-31 (Price: 53.35)",2026-04-08 (Price: 54.35),"1.87%, 8 days","75.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-10 (Price: 53.24), 0.21% below",10 days,5.45%/1.63%/2.68%,"9.31%, 10.0%",19 days/1 day/7 days,2026-04-27/2026-04-01/2026-04-10,5.5%,-0.63%,6.13%,-0.76,-0.19,56.1562/54.7798/55.47/65.682/68.9264/76.3906/60.35,52.6/46.725/46.1919/36.8936/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),53.0
"SBUX, Long, 2026-03-31 (Price: 89.59)",2026-04-06 (Price: 94.78),"5.79%, 6 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-10 (Price: 96.6), 7.82% above",10 days,7.57%/1.64%/4.07%,"16.2%, 17.41%",2.1 months/1 day/15 days,2026-06-30/2026-04-01/2026-04-21,6.29%,-2.45%,8.74%,0.71,-0.1,95.0281/93.2363/94.13/117.0525/142.4098/150.3462/89.63,86.72/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),88.08
"BAC, Long, 2026-03-29 (Price: 46.97)",2026-04-10 (Price: 52.54),"11.86%, 12 days","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-10 (Price: 52.54), 11.86% above",12 days,26.29%/6.58%/14.47%,"25.71%, 33.38%",6.8 months/8 days/1.8 month,2027-01-18/2026-04-09/2026-06-15,7.84%,6.3%,1.54%,0.59,0.32,52.597/53.7666/53.18/48.7833/72.41/85.2389/50.99,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),48.34
"JETS, Long, 2026-03-29 (Price: 24.13)",No Exit Yet,"7.29%, 12 days","100.0%, Past 10 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-10 (Price: 25.89), 7.29% above",12 days,29.2%/7.1%/13.22%,"-0.0%, 22.83%",2.3 months/7 days/29 days,2026-07-06/2026-04-08/2026-05-10,10.0%,0.03%,9.97%,1.29,0.05,26.0459/27.32/26.68/27.1773/No Next Fib Ext/No Next Fib Ext/26.14,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),25.2
"EBO.NZ, Long, 2026-03-29 (Price: 22.6)",No Exit Yet,"-1.42%, 12 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-10 (Price: 22.28), 1.42% below",12 days,6.05%/4.89%/5.47%,"11.57%, 11.86%",4.9 months/7 days/2.6 months,2026-10-27/2026-04-08/2026-07-19,2.05%,6.09%,-4.04%,-1.01,0.32,23.1582/23.8362/23.5/46.625/51.6772/55.325/29.98,21.86/No Horizontal Support/21.8462/19.4238/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),21.83
"GNE.NZ, Long, 2026-03-29 (Price: 2.16)",No Exit Yet,"2.31%, 12 days","83.33%, Past 11 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-10 (Price: 2.21), 2.31% above",12 days,14.79%/4.18%/7.53%,"12.34%, 12.5%",6.1 months/14 days/1.9 month,2026-12-19/2026-04-18/2026-06-19,5.02%,1.45%,3.57%,0.69,-0.0,2.2512/2.3226/2.29/3.3125/No Next Fib Ext/No Next Fib Ext/2.38,2.14/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),2.2
"EFN.TO, Long, 2026-03-29 (Price: 30.11)",2026-04-10 (Price: 32.09),"6.58%, 12 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-10 (Price: 32.09), 6.58% above",12 days,22.27%/10.41%/15.26%,"43.16%, 45.87%",2.6 months/7 days/1.1 month,2026-07-19/2026-04-08/2026-05-15,2.35%,9.68%,-7.33%,-0.15,0.49,33.952/34.7048/34.33/34.925/45.1741/70.5281/35.27,27.54/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),30.73
"DOL.TO, Long, 2026-03-27 (Price: 166.76)",2026-04-06 (Price: 175.6),"5.3%, 10 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-03-27",Already confirmed,"2026-04-10 (Price: 176.82), 6.03% above",14 days,5.3%/2.44%/3.5%,"4.54%, 4.54%",1.1 month/3 days/13 days,2026-05-13/2026-03-31/2026-04-14,8.21%,17.08%,-8.87%,1.77,1.12,181.585/172.5966/177.09/197.56/294.0831/455.769/190.36,163.59/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),168.42
"BEL.NS, Long, 2026-03-25 (Price: 413.45)",2026-04-08 (Price: 433.1),"4.75%, 14 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-04-10 (Price: 442.45), 7.01% above",16 days,6.18%/2.69%/4.07%,"11.23%, 12.53%",19 days/2 days/9 days,2026-04-21/2026-03-27/2026-04-07,12.03%,37.48%,-25.45%,0.74,1.95,451.1566/430.2774/440.72/433.5/456.8119/613.9011/No EMA 200 Target,405.5/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/411.4,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),416.3
"HDB, Long, 2026-03-24 (Price: 25.12)",2026-04-08 (Price: 27.11),"7.92%, 15 days","94.12%, Past 4 years, 17","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-10 (Price: 26.73), 6.41% above",17 days,6.97%/1.34%/3.62%,"10.43%, 10.43%",2.4 months/1 day/24 days,2026-07-06/2026-03-25/2026-04-27,12.14%,-5.09%,17.23%,0.77,-0.31,26.69/26.0293/26.36/39.3812/40.717/51.346/34.46,No Recent Minima/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),25.23
"QQQ, Long, 2026-03-24 (Price: 583.98)",2026-04-08 (Price: 606.09),"3.79%, 15 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-10 (Price: 611.07), 4.64% above",17 days,5.36%/1.84%/3.44%,"7.84%, 13.67%",2.6 months/2 days/21 days,2026-07-14/2026-03-26/2026-04-23,8.44%,8.34%,0.1%,1.28,0.47,616.7997/604.0689/610.43/636.805/836.2536/910.0135/596.7,582.06/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),584.82
"^NDX, Long, 2026-03-24 (Price: 24002.4492)",2026-04-08 (Price: 24903.166),"3.75%, 15 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-10 (Price: 25116.3379), 4.64% above",17 days,5.34%/1.84%/3.26%,"7.94%, 13.69%",2.6 months/2 days/20 days,2026-07-14/2026-03-26/2026-04-21,7.35%,8.36%,-1.01%,1.09,0.47,25257.7773/24784.929/25021.35/26173.5898/33965.62/36701.6323/24519.67,23898.15/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),24042.2305
"^NSEI, Long, 2026-03-24 (Price: 22912.4004)",2026-04-08 (Price: 23997.3496),"4.74%, 15 days","83.33%, Past 4 years, 12","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-10 (Price: 24050.5996), 4.97% above",17 days,3.06%/1.64%/2.13%,"7.21%, 7.21%",19 days/1 day/6 days,2026-04-20/2026-03-25/2026-04-01,5.39%,6.31%,-0.92%,-0.53,0.43,24271.1057/23400.4345/23835.77/26106.6328/No Next Fib Ext/No Next Fib Ext/25175.74,22512.65/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),22878.4492
"NIFTY_MIDCAP_100.NS, Long, 2026-03-24 (Price: 54087.0)",2026-04-08 (Price: 56799.5),"5.02%, 15 days","84.62%, Past 4 years, 13","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-10 (Price: 57843.9492), 6.95% above",17 days,4.01%/2.1%/2.76%,"8.15%, 9.89%",20 days/2 days/8 days,2026-04-21/2026-03-26/2026-04-04,6.04%,11.92%,-5.88%,1.78,0.86,57543.1593/55579.8012/56561.48/60128.6094/69983.5191/76335.2565/58578.77,52717.55/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),53878.3008
"BPCL.NS, Long, 2026-03-24 (Price: 282.25)",2026-04-08 (Price: 298.1),"5.62%, 15 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-10 (Price: 299.35), 6.06% above",17 days,5.64%/2.52%/4.01%,"12.36%, 12.36%",1.2 month/2 days/9 days,2026-05-15/2026-03-26/2026-04-06,4.5%,3.75%,0.75%,0.28,0.19,297.9149/293.5682/295.74/383.0667/393.108/467.0257/342.55,271.3/145.35/248.4289/232.8593/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),280.0
"GILD, Long, 2026-03-24 (Price: 138.11)",2026-04-08 (Price: 141.54),"2.48%, 15 days","83.33%, Past 4 years, 6","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-10 (Price: 138.99), 0.64% above",17 days,5.29%/2.0%/3.5%,"6.53%, 9.04%",1.6 month/1 month/1.2 month,2026-06-01/2026-05-06/2026-05-15,4.84%,11.19%,-6.35%,0.23,0.64,140.5269/142.9438/141.74/No Horizontal Resistance/154.7608/163.0355/No EMA 200 Target,137.21/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/125.06,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),136.8
"^DJI, Long, 2026-03-23 (Price: 46208.4688)",2026-04-08 (Price: 47909.9219),"3.68%, 16 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-04-10 (Price: 47916.5703), 3.7% above",18 days,3.16%/1.43%/2.22%,"4.65%, 4.65%",1.1 month/4 days/13 days,2026-05-09/2026-03-28/2026-04-10,7.38%,4.77%,2.61%,1.82,0.24,48639.0343/47234.2968/47936.67/No Horizontal Resistance/54129.8938/83218.843/46842.23,45577.47/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),45803.8203
"DIA, Long, 2026-03-23 (Price: 461.97)",2026-04-08 (Price: 479.16),"3.72%, 16 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-04-10 (Price: 479.25), 3.74% above",18 days,3.05%/1.16%/2.08%,"10.52%, 10.52%",1.1 month/1 day/10 days,2026-05-09/2026-03-24/2026-04-06,4.89%,4.77%,0.12%,1.13,0.24,487.8403/471.579/479.71/No Horizontal Resistance/538.1343/826.9871/468.58,455.89/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),463.3
"INDA, Long, 2026-03-23 (Price: 47.63)",2026-04-08 (Price: 49.27),"3.44%, 16 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-04-10 (Price: 49.34), 3.59% above",18 days,6.03%/1.48%/2.93%,"5.35%, 6.14%",28 days/2 days/10 days,2026-05-02/2026-03-25/2026-04-06,4.97%,1.76%,3.21%,-0.39,-0.04,49.278/49.0256/49.15/55.3975/66.8401/79.771/52.77,46.59/39.0425/45.3705/38.12/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),47.52
"AAPL, Long, 2026-03-17 (Price: 254.23)",2026-04-09 (Price: 260.49),"2.46%, 23 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-17",Already confirmed,"2026-04-10 (Price: 260.48), 2.46% above",24 days,6.6%/2.84%/3.8%,"4.88%, 13.99%",2.3 months/2 days/18 days,2026-06-24/2026-03-19/2026-04-12,9.59%,10.35%,-0.76%,1.32,0.55,270.7804/263.8907/267.34/284.765/289.238/325.3828/No EMA 200 Target,250.12/136.32/202.8031/187.5583/No F-Track Level/No F-Track Level/250.64,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),253.0785
"JNK, Long, 2026-03-16 (Price: 95.65)",2026-04-08 (Price: 96.48),"0.87%, 23 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-04-10 (Price: 96.24), 0.62% above",25 days,2.45%/0.59%/1.37%,"3.61%, 4.19%",1.4 month/1 day/15 days,2026-05-15/2026-03-17/2026-04-06,4.88%,-1.76%,6.64%,0.73,-0.88,97.783/96.9604/97.37/108.6314/No Next Fib Ext/No Next Fib Ext/97.02,95.25/88.8814/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),95.66
