"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"CNQ.TO, Long, 2026-03-20 (Price: 67.39)",No Exit Yet,"0.0%, 0 days","78.57%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 61.9 prior to 2026-03-31,"2026-03-20 (Price: 67.39), 0.0% below",0 days,"4, 2024-04-30 (Price: 56.495)",2026-01-31 (Price: 50.63),2026-03-18 (Price: 67.49),48/2/0 days,33.1% above/0.15% below/0.0% below,2024-04-30 (Price: 56.495)/2026-03-20 (Price: 40.7646),53.91%/13.01%/31.51%,"27.09%, 59.44%",2.1 years/5 months/11.9 months,2029-03-19/2026-10-23/2027-08-19,10.23%,8.74%,1.49%,0.66,0.44,86.6972/88.6246/73.93/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,39.56/34.9317/57.6062/49.2599/62.036/56.8714/47.12,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),61.9
"NA.TO, Long, 2026-03-20 (Price: 175.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-03-20 (Price: 175.12), 0.0% below",0 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),79/35/0 days,1.45% above/0.19% above/0.0% below,1995-12-31 (Price: 6.0)/2026-03-20 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-05-10/2028-10-13/2029-10-13,7.2%,8.31%,-1.11%,3.17,0.49,223.3656/227.3758/276.59/No Horizontal Resistance/204.2705/224.9542/No EMA 200 Target,54.39/82.9367/162.0277/143.1328/173.1163/160.4607/158.35,100.0%/7/2.7 years (Across ALL Assets),33.33%/3/10.8 months (Across ALL Assets),172.8
"RINF, Long, 2026-03-18 (Price: 32.3103)",No Exit Yet,"-0.68%, 2 days","73.33%, Past 4 years, 15","Daily, is CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 32.09), 0.68% below",2 days,"0, 2025-02-03 (Price: 33.67)",2026-03-17 (Price: 32.1702),2026-03-18 (Price: 32.3103),3/2/2 days,0.25% below/0.68% below/0.68% below,2025-02-03 (Price: 33.67)/2026-03-18 (Price: 32.1223),3.92%/0.3%/1.33%,"6.5%, 14.15%",17 days/6 days/10 days,2026-04-11/2026-03-26/2026-04-01,4.94%,2.3%,2.64%,-0.17,-0.01,33.1665/32.74/33.13/35.1525/41.8158/48.2716/32.51,31.79/28.7133/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets),32.31
"MCY.NZ, Long, 2026-03-18 (Price: 6.46)",No Exit Yet,"0.77%, 2 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 6.51), 0.77% above",2 days,"4, 2025-09-12 (Price: 6.96)",2026-03-18 (Price: 6.46),2026-03-18 (Price: 6.46),2/2/2 days,0.77% above/0.77% above/0.77% above,2025-09-12 (Price: 6.96)/2026-03-18 (Price: 6.4179),6.24%/1.3%/4.25%,"14.39%, 20.6%",5.6 months/8 days/1.5 month,2026-11-16/2026-03-29/2026-05-22,15.72%,2.24%,13.48%,0.7,0.11,6.6364/6.7345/6.76/7.2/7.7971/8.9053/No EMA 200 Target,6.2/5.13/5.8309/4.54/No F-Track Level/No F-Track Level/6.39,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets),6.4
"UBER, Long, 2026-03-17 (Price: 77.79)",No Exit Yet,"-5.01%, 3 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-03-17",Already confirmed,"2026-03-20 (Price: 73.89), 5.01% below",3 days,"2, 2025-11-03 (Price: 100.35)",2026-03-13 (Price: 73.33),2026-03-17 (Price: 77.79),7/3/3 days,0.76% above/5.01% below/5.01% below,2025-11-03 (Price: 100.35)/2026-03-17 (Price: 73.2371),15.75%/2.64%/8.94%,"34.98%, 57.69%",3.5 months/4 days/25 days,2026-08-16/2026-03-22/2026-04-22,11.48%,7.62%,3.86%,0.3,0.43,82.1696/84.7444/91.33/82.12/111.0948/120.7433/87.66,72.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets),77.39
"PYPL, Long, 2026-03-17 (Price: 46.13)",No Exit Yet,"-4.6%, 3 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-17",Already confirmed,"2026-03-20 (Price: 44.01), 4.6% below",3 days,"4, 2026-02-25 (Price: 48.5)",2026-03-13 (Price: 44.9),2026-03-17 (Price: 46.13),7/3/3 days,1.98% below/4.6% below/4.6% below,2026-02-25 (Price: 48.5)/2026-03-17 (Price: 44.3064),7.4%/1.59%/4.62%,"17.75%, 23.23%",1.7 month/6 days/17 days,2026-05-29/2026-03-25/2026-04-10,8.66%,-12.11%,20.77%,0.09,-0.28,48.4826/48.2612/47.55/92.955/No Next Fib Ext/No Next Fib Ext/63.43,44.36/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets),45.85
"IFT.NZ, Long, 2026-03-17 (Price: 10.9)",No Exit Yet,"-0.64%, 3 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-03-17",Already confirmed,"2026-03-20 (Price: 10.83), 0.64% below",3 days,"4, 2025-11-13 (Price: 12.85)",2026-03-16 (Price: 10.84),2026-03-17 (Price: 10.9),4/3/3 days,0.09% below/0.64% below/0.64% below,2025-11-13 (Price: 12.85)/2026-03-17 (Price: 10.737),9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-08-07/2026-03-25/2026-05-03,15.16%,8.14%,7.02%,0.86,0.43,11.3938/11.348/12.07/12.825/18.927/29.733/11.49,10.65/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets),10.81
"JD, Long, 2026-03-16 (Price: 28.49)",No Exit Yet,"-4.28%, 4 days","70.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-03-16",Already confirmed,"2026-03-20 (Price: 27.27), 4.28% below",4 days,"0, 2025-09-19 (Price: 36.055)",2026-03-13 (Price: 28.32),2026-03-16 (Price: 28.49),7/4/4 days,3.71% below/4.28% below/4.28% below,2025-09-19 (Price: 36.055)/2026-03-16 (Price: 28.1807),8.94%/0.59%/4.17%,"40.68%, 51.29%",5.6 months/7 days/26 days,2026-11-14/2026-03-26/2026-04-22,-13.53%,-4.79%,-8.74%,-0.19,0.05,30.1681/29.678/33.03/80.755/97.2627/102.2552/31.1,25.4/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets),28.47
"^TNX, Long, 2026-03-15 (Price: 4.285)",No Exit Yet,"2.47%, 5 days","94.12%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-20 (Price: 4.391), 2.47% above",5 days,"4, 2025-01-19 (Price: 4.809)",2026-03-08 (Price: 4.133),2026-03-11 (Price: 4.208),12/9/5 days,6.24% above/4.35% above/2.47% above,2025-01-19 (Price: 4.809)/2026-03-15 (Price: 4.0474),36.67%/4.7%/14.0%,"6.49%, 39.8%",11.7 months/28 days/3 months,2027-08-05/2026-04-24/2026-07-23,12.28%,0.73%,11.55%,1.0,0.14,4.7139/4.8849/4.6/4.6918/17.4008/18.8284/No EMA 200 Target,3.96/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.2,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),4.173
"USO, Long, 2026-03-15 (Price: 119.89)",No Exit Yet,"1.28%, 5 days","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-20 (Price: 121.43), 1.28% above",5 days,"0, 2023-10-01 (Price: 83.29)",2026-03-08 (Price: 108.77),2026-03-13 (Price: 119.89),12/7/5 days,11.64% above/1.28% above/1.28% above,2023-10-01 (Price: 83.29)/2026-03-15 (Price: 83.6838),10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-07-05/2026-05-06/2026-08-22,-7.02%,-6.0%,-1.02%,-0.18,-0.19,No Target/124.4458/141.85/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/74.94,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),119.42
