"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BPCL.NS, Long, 2026-03-12 (Price: 326.35)",No Exit Yet,"-2.16%, 1 day","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-12",Already confirmed,"2026-03-13 (Price: 319.3), 2.16% below",1 day,5.64%/2.52%/4.01%,"9.33%, 10.91%",1.2 month/2 days/9 days,2026-05-03/2026-03-14/2026-03-25,6.09%,8.96%,-2.87%,0.22,0.48,349.7819/339.4366/344.61/378.775/393.108/467.0257/345.02,325.05/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Support,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),318.7
"IHI, Long, 2026-03-11 (Price: 56.28)",No Exit Yet,"-2.88%, 2 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 54.66), 2.88% below",2 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-04-07/2026-03-12/2026-03-21,10.24%,1.25%,8.99%,0.38,-0.05,59.9495/57.8108/58.88/65.682/68.9264/76.3906/61.05,54.27/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),56.42
"JPM, Long, 2026-03-11 (Price: 287.52)",No Exit Yet,"-1.42%, 2 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 283.44), 1.42% below",2 days,8.06%/3.1%/4.64%,"8.8%, 11.57%",1.9 month/1 day/17 days,2026-06-01/2026-03-12/2026-04-04,8.25%,11.75%,-3.5%,0.5,0.67,318.2846/300.8609/309.57/No Horizontal Resistance/328.9175/381.492/300.73,286.94/125.7575/287.5071/275.691/No F-Track Level/No F-Track Level/No EMA 200 Support,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),288.81
"RHHBY, Long, 2026-03-11 (Price: 53.25)",No Exit Yet,"-6.01%, 2 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 50.05), 6.01% below",2 days,6.91%/2.23%/3.07%,"9.92%, 11.39%",2.3 months/1 day/15 days,2026-06-18/2026-03-12/2026-04-01,2.5%,2.95%,-0.45%,-0.03,0.11,55.9285/54.8848/55.41/No Horizontal Resistance/65.2057/86.6196/No EMA 200 Target,51.37/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/46.09,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),52.95
"TFII.TO, Long, 2026-03-11 (Price: 150.79)",No Exit Yet,"-7.16%, 2 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 140.0), 7.16% below",2 days,6.98%/2.44%/4.44%,"22.89%, 22.89%",2.9 months/1 day/24 days,2026-07-15/2026-03-12/2026-04-14,2.12%,8.54%,-6.42%,0.02,0.43,154.5145/157.4851/156.0/219.9933/223.9051/280.6304/No EMA 200 Target,150.27/115.528/150.2411/113.6809/No F-Track Level/No F-Track Level/134.03,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),149.08
"^DJI, Long, 2026-03-10 (Price: 47706.5117)",No Exit Yet,"-2.41%, 3 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 46558.4688), 2.41% below",3 days,3.16%/1.43%/2.16%,"4.6%, 5.49%",1.1 month/1 day/12 days,2026-04-26/2026-03-11/2026-03-27,10.18%,6.92%,3.26%,0.85,0.46,50635.6915/48736.9724/49686.33/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,47501.55/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/46461.29,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),47771.4297
"XLV, Long, 2026-03-10 (Price: 153.15)",No Exit Yet,"-2.19%, 3 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 149.79), 2.19% below",3 days,4.39%/0.91%/2.27%,"4.68%, 8.33%",1.2 month/1 day/12 days,2026-05-01/2026-03-11/2026-03-27,6.73%,4.45%,2.28%,0.3,0.21,161.267/156.6265/158.95/159.7267/174.1807/202.706/No EMA 200 Target,152.7/122.0086/153.114/117.2225/No F-Track Level/No F-Track Level/144.9,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),154.41
"^NSEI, Long, 2026-03-10 (Price: 24261.5996)",No Exit Yet,"-4.58%, 3 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 23151.0996), 4.58% below",3 days,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-04-06/2026-03-11/2026-03-17,7.24%,8.84%,-1.6%,0.75,0.7,25908.9622/24766.2409/25337.6/26106.6328/No Next Fib Ext/No Next Fib Ext/25317.19,24028.05/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),24280.8008
"DIA, Long, 2026-03-10 (Price: 477.7)",No Exit Yet,"-2.36%, 3 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 466.41), 2.36% below",3 days,3.05%/1.16%/2.13%,"6.08%, 6.08%",1.1 month/1 day/10 days,2026-04-26/2026-03-11/2026-03-24,8.1%,6.92%,1.18%,0.39,0.46,510.5658/487.875/499.22/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,475.23/326.1/359.6128/249.2814/No F-Track Level/No F-Track Level/464.82,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),477.74
"IWM, Long, 2026-03-10 (Price: 253.36)",No Exit Yet,"-2.67%, 3 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 246.59), 2.67% below",3 days,6.0%/1.94%/3.57%,"6.91%, 6.91%",2.7 months/1 day/18 days,2026-07-05/2026-03-11/2026-04-05,13.44%,3.66%,9.78%,0.91,0.16,267.8775/262.405/265.14/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,250.89/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/240.2,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets),252.96
