Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2026-03-29 (Price: 282.84)",Weekly,No Exit Yet,313.7261 (Historic Rise or Fall to Pivot),No Date Target,3.7%/4.86%,"10.9%, 15 days","2026-04-13 (Price: 313.68), 10.9% above",330.7531 (Avg % Gain of Historic Winning trades)/424.42 (Function Specific Target)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/345.8002 (Backtested Max)/325.2943 (Backtested Min),2029-05-19 (Max)/2027-05-07 (Avg),210.28/125.7575/275.691/208.1524/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.12%, Past 20 years, 17",294.31,No Information,No Information,No Information,"23.66% (Price: 281.4195), 11.46% above, Upmove Bounce Back","2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",No Information,22.26%/15.01%/16.94%,"6.94%, 37.49%",2.2 years/7 days/9.3 months,13.23%,7.04%,6.19%,0.0,0.36,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-03-31 (Price: 245.3)",Quarterly,2026-04-13 (Price: 313.68),No Price Target,No Date Target,20.52%/23.34%,"27.88%, 1.1 year","2026-04-13 (Price: 313.68), 27.88% above",386.88 (Function Specific Target)/378.0318 (Backtested Max),2030-05-21 (Max)/2026-09-03 (Min)/2027-10-25 (Avg),104.5/91.08/208.1524/186.1217/No F-Track Level/No F-Track Level/230.23,"100.0%, Past 45 years, 6",240.92,No Information,No Information,No Information,No Information,No Information,30.86% above/26.42% above/27.88% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2024-06-30 (Price: 202.26)",Quarterly,2026-04-13 (Price: 313.68),318.02 (Function Specific Target)/311.7029 (Backtested Max),No Date Target,No Next Target,"55.09%, 1.8 year","2026-04-13 (Price: 313.68), 55.09% above",No Next Target,2029-08-20 (Max)/2027-01-24 (Avg),104.5/91.08/186.1217/130.0388/No F-Track Level/No F-Track Level/173.92,"100.0%, Past 45 years, 6",199.99,No Information,No Information,No Information,No Information,No Information,55.09% above/55.09% above/55.09% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
OSCILLATOR DELTA,"JPM, Long, 2026-04-08 (Price: 307.97)",Daily,2026-04-10 (Price: 309.87),No Price Target,2026-04-12 (Min),2.06%/4.07%,"1.85%, 5 days","2026-04-13 (Price: 313.68), 1.85% above",340.738 (Historic Rise or Fall to Pivot)/320.1348 (Avg % Gain of Historic Winning trades)/326.45 (Function Specific Target)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/329.8359 (Backtested Max),2026-05-06 (Max)/2026-04-22 (Avg),No Recent Minima/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/303.26,"93.33%, Past 6 years, 15",307.97,No Information,No Information,No Information,No Information,No Information,No Information,7.1%/0.19%/3.95%,"10.51%, 10.82%",20 days/3 days/10 days,11.72%,14.75%,-3.03%,0.0,0.81,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2026-03-22 (Price: 201.33)",Weekly,2026-04-12 (Price: 245.04),No Price Target,No Date Target,6.57%/8.18%,"22.6%, 22 days","2026-04-13 (Price: 246.83), 22.6% above",328.84 (Function Specific Target)/267.02 (Horizontal)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/263.0578 (Backtested Max),2028-10-15 (Max)/2027-02-23 (Avg),192.43/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/199.93,"85.71%, Past 20 years, 14",194.845,No Information,No Information,No Information,"38.2% (Price: 185.9012), 32.77% above, Upmove Bounce Back","2022-10-16 (Price: 54.57), 2025-11-02 (Price: 267.08)",No Information,30.66%/1.73%/18.99%,"17.29%, 53.25%",1.8 year/7 days/7.8 months,10.0%,7.0%,3.0%,0.0,0.43,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2026-02-22 (Price: 200.15)",Weekly,2026-04-12 (Price: 245.04),No Price Target,No Date Target,5.95%/10.95%,"23.32%, 1.7 month","2026-04-13 (Price: 246.83), 23.32% above",314.51 (Function Specific Target)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/261.516 (Backtested Max),2028-09-17 (Max)/2027-01-26 (Avg),151.14/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/199.93,"85.71%, Past 20 years, 14",202.145,No Information,No Information,No Information,"38.2% (Price: 194.2708), 27.05% above, Upmove Bounce Back","2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",No Information,30.66%/1.73%/18.99%,"17.29%, 53.25%",1.8 year/7 days/7.8 months,10.0%,7.0%,3.0%,0.0,0.43,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2026-03-10 (Price: 203.23)",Daily,2026-04-09 (Price: 236.64),No Price Target,2026-04-15 (Avg),8.18%/10.95%,"21.45%, 1.1 month","2026-04-13 (Price: 246.83), 21.45% above",267.02 (Horizontal)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2),2026-06-30 (Max)/2026-04-15 (Avg),190.95/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/189.52,"86.36%, Past 4 years, 22",202.51,No Information,No Information,No Information,No Information,No Information,21.78% above/21.45% above/21.45% above,11.8%/5.01%/8.69%,"14.7%, 48.49%",2.6 months/8 days/25 days,22.49%,19.53%,2.96%,0.0,0.83,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets)
SIGMASHELL,"AMD, Long, 2026-03-03 (Price: 190.95)",Daily,No Exit Yet,248.1395 (Backtested Max),No Date Target,8.18%/10.95%,"29.26%, 1.4 month","2026-04-13 (Price: 246.83), 29.26% above",273.8526 (Function Specific Target)/267.02 (Horizontal)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2),2026-10-27 (Max)/2026-05-11 (Min)/2026-07-28 (Avg),151.14/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 5 years, 7",191.46,"-3.21, 93.75%",No Information,No Information,No Information,No Information,No Information,29.95%/11.64%/20.21%,"21.78%, 48.49%",5.5 months/1.6 month/3.4 months,11.76%,6.65%,5.11%,0.0,0.44,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2026-02-22 (Price: 1957.8059)",Weekly,2026-04-13 (Price: 2260.75),2264.0067 (Backtested Min),No Date Target,7.14%/15.39%,"15.47%, 1.7 month","2026-04-13 (Price: 2260.75), 15.47% above",2422.1975 (Avg % Gain of Historic Winning trades)/4097.97 (Function Specific Target)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5344.0381 (F-Stack 2)/2910.31 (EMA 200)/2608.7764 (Backtested Max),2026-10-14 (Max)/2026-06-19 (Avg),1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 10 years, 6",1965.9232,No Information,No Information,No Information,"88.6% (Price: 1793.4297), 26.06% above, Upmove Bounce Back","2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",No Information,33.25%/15.64%/23.72%,"-0.0%, 44.11%",5.4 months/7 days/2.7 months,38.51%,17.52%,20.99%,0.0,0.91,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
DELTADRIFT,"ETH-USD, Long, 2026-03-01 (Price: 1939.0667)",Weekly,2026-04-12 (Price: 2192.2012),No Price Target,2026-04-13 (Avg),4.45%/8.72%,"16.59%, 1.4 month","2026-04-13 (Price: 2260.75), 16.59% above",2670.8705 (Historic Rise or Fall to Pivot)/2457.9609 (Avg % Gain of Historic Winning trades)/2564.42 (Function Specific Target)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5344.0381 (F-Stack 2)/2910.31 (EMA 200)/2584.9698 (Backtested Max)/2361.3954 (Backtested Min),2026-05-09 (Max),1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 10 years, 4",1958.1396,No Information,No Information,No Information,No Information,No Information,No Information,33.31%/21.78%/26.76%,"-0.0%, 21.37%",1.6 month/14 days/1 month,25.34%,17.52%,7.82%,1.25,0.91,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets)
